id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
38;19065;AGUJAS SEPTOJECT EVOLUTION;Septodont;AGUJAS Y ANESTESIAS;30G (0,3 x 16 mm);Caja de 100 unidades;21.25;21,25 €;22
39;19066;AGUJAS SEPTOJECT EVOLUTION;Septodont;AGUJAS Y ANESTESIAS;30G (0,3 x 25 mm);Caja de 100 unidades;21.25;21,25 €;22
40;19067;AGUJAS SEPTOJECT EVOLUTION;Septodont;AGUJAS Y ANESTESIAS;27G (0,4 x 25 mm);Caja de 100 unidades;21.25;21,25 €;22
41;2164;CONTENEDOR DE SEGURIDAD SC25;Larident;AGUJAS Y ANESTESIAS;;25 unidades de 2,2 litros;71.81;71,81 €;22
42;73854;AGUJAS MONOPROTECT;Inibsa;AGUJAS Y ANESTESIAS;30G Corta (0,30x25mm);Caja de 100 unidades;25.96;25,96 €;22
43;73855;AGUJAS MONOPROTECT;Inibsa;AGUJAS Y ANESTESIAS;27G Larga (0,40x36mm);Caja de 100 unidades;25.96;25,96 €;22
44;73856;AGUJAS MONOPROTECT;Inibsa;AGUJAS Y ANESTESIAS;30G Extra Corta (0,30x12mm);Caja de 100 unidades;25.96;25,96 €;22
45;73857;AGUJAS MONOPROTECT;Inibsa;AGUJAS Y ANESTESIAS;30G Corta (0,30x21mm);Caja de 100 unidades;25.96;25,96 €;22
46;73858;AGUJAS MONOPROTECT;Inibsa;AGUJAS Y ANESTESIAS;30G Extra Corta (0,30x16mm);Caja de 100 unidades;25.96;25,96 €;22
47;96463;AGUJAS SEPTOJECT;Septodont;AGUJAS Y ANESTESIAS;;Caja de 100 unidades;17.5;17,50 €;22
48;96464;AGUJAS SEPTOJECT;Septodont;AGUJAS Y ANESTESIAS;30G (0.3 x 10 mm);Caja de 100 unidades;17.5;17,50 €;22
49;96465;AGUJAS SEPTOJECT;Septodont;AGUJAS Y ANESTESIAS;30G (0,3 x 25 mm);Caja de 100 unidades;17.5;17,50 €;22
50;98495;CONTENEDOR DE AGUJAS;Larident;AGUJAS Y ANESTESIAS;;10 unidades de 0,6;16.37;16,37 €;22
51;01923;SPRAY REFRIGERANTE;Proclinic;AGUJAS Y ANESTESIAS;Naranja;200 ml.;9.4;9,40 €;23
52;01924;SPRAY REFRIGERANTE;Proclinic;AGUJAS Y ANESTESIAS;Menta;200 ml.;9.4;9,40 €;23
53;01925;SPRAY REFRIGERANTE;Bestdent;AGUJAS Y ANESTESIAS;Menta;200 ml.;9.4;9,40 €;23
54;6510;SPRAY REFRIGERANTE ENDO-FROST;Roeko;AGUJAS Y ANESTESIAS;;200 ml.;20.7;20,70 €;23
55;6818;SPRAY REFRIGERANTE INSTANT;Euronda Monoart;AGUJAS Y ANESTESIAS;;200 ml.;20.7;20,70 €;23
56;698911;SPRAY REFRIGERANTE AKZENTA;Akzenta;AGUJAS Y ANESTESIAS;Menta;200 ml.;18.35;18,35 €;23
57;19029;SPRAY REFRIGERANTE CRYOPULP;Septodont;AGUJAS Y ANESTESIAS;Spray refrigerante CryoPulp, adecuado para la congelación rápida de bolas de algodón o espuma, para pruebas de vitalidad de dientes y enfriamiento de materiales de impresión / fundición (hidrocoloides, etc.) Gas ecológico: propano-butano. Enfría hasta -40º C. Sabor menta. No rociar directamente sobre la mucosa.;200 ml.;35.83;35,83 €;24
58;1956;CRIO-ANESTÉSICO FRILJET;Acteon;AGUJAS Y ANESTESIAS;;200 g.;41.0;41,00 €;24
59;54835;BOLSA TÉRMICA;Dispotech;AGUJAS Y ANESTESIAS;;1 14 x18 cm. frigorífico.;4.73;4,73 €;24
60;6452;HIELO INSTANTÁNEO;Euronda Monoart;AGUJAS Y ANESTESIAS;;1 14 x18 cm. frigorífico.;39.0;39,00 €;24
61;85970;CON HIELO INSTANTÁNEO;Bestdent;AGUJAS Y ANESTESIAS;;24 unidades;26.9;26,90 €;24
62;49146;JERINGA ANESTESIA 3 AROS;Asa Dental;AGUJAS Y ANESTESIAS;;Sistema de doble gancho. ud.;55.49;55,49 €;25
63;80222;JERINGA ASPIRACIÓN 3 AROS BESTDENT;Bestdent;AGUJAS Y ANESTESIAS;;Sistema de doble gancho.;45.33;45,33 €;25
64;46297;JERINGA PLEGABLE;Proclinic;AGUJAS Y ANESTESIAS;Jeringa plegable con sistema de doble gancho.;;36.77;36,77 €;26
65;49147;JERINGA PLEGABLE;Asa Dental;AGUJAS Y ANESTESIAS;;Sistema;36.55;36,55 €;26
66;80220;JERINGA ASPIRACIÓN 1 ARO;Bestdent;AGUJAS Y ANESTESIAS;;Sistema de punta de;36.55;36,55 €;26
67;69600;JERINGA PLEGABLE CON ASPIRACIÓN UNIJECT K;Normon;AGUJAS Y ANESTESIAS;;Carga trasera. Triple gancho.;191.9;191,90 €;27
68;80255;JERINGA AUTOASPIRANTE;Bestdent;AGUJAS Y ANESTESIAS;;;55.43;55,43 €;27
69;19265;SEPTANEST;Septodont;AGUJAS Y ANESTESIAS;Septanest 1:100.000 (Azul).;5 blíster de 10 cartuchos de 1,7 ml.;;Sob consulta;28
70;19275;SEPTANEST;Septodont;AGUJAS Y ANESTESIAS;Septanest 1:200.000 (Verde);5 blíster de 10 cartuchos de 1,7 ml.;;Sob consulta;28
71;19276;SCANDONEST 3% S.V.C. (VERDE);Septodont;AGUJAS Y ANESTESIAS;;50 cartuchos de 1,8 ml.;;Sob consulta;28
72;41030;ULTRA SAFETY PLUS TWIST;Septodont;AGUJAS Y ANESTESIAS;30G-25MM;100 agujas + 1 émbolo autoclavable.;65.0;65,00 €;28
73;41031;ULTRA SAFETY PLUS TWIST;Septodont;AGUJAS Y ANESTESIAS;27G-35MM;100 agujas + 1 émbolo autoclavable.;65.0;65,00 €;28
74;41032;ULTRA SAFETY PLUS TWIST;Septodont;AGUJAS Y ANESTESIAS;27G-25MM;100 agujas + 1 émbolo autoclavable.;65.0;65,00 €;28
75;59476;FUNDAS JERINGAS ANESTESIA;Angie;AGUJAS Y ANESTESIAS;;3 fundas con forma de cocodrilo para jeringas. un giro de 45º que proporciona seguridad y evita la inestabilidad 2 en color verde y 1 en rosa, 3 kits de adhesivos decorativos.;29.06;29,06 €;28
76;2020;OCTOCAINE SOLUCIÓN INYECTABLE;Laboratorios Clarben;AGUJAS Y ANESTESIAS;Octocaine 20 mg/ml + 0,01 mg/ml (roja);50 carpules de 1,8 ml.;;Sob consulta;29
77;2021;OCTOCAINE SOLUCIÓN INYECTABLE;Laboratorios Clarben;AGUJAS Y ANESTESIAS;Octocaine 20 mg/ml + 0,02 mg/ml (verde);50 carpules de 1,8 ml.;;Sob consulta;29
78;2025;MEGANEST SOLUCIÓN INYECTABLE;Laboratorios Clarben;AGUJAS Y ANESTESIAS;Meganest 40 mg/ml + 0,01 mg/ml (naranja);50 carpules de 1,8 ml.;;Sob consulta;29
79;2026;MEGANEST SOLUCIÓN INYECTABLE;Laboratorios Clarben;AGUJAS Y ANESTESIAS;Meganest 40 mg/ml + 0,005 mg/ml (amarilla);50 carpules de 1,8 ml.;;Sob consulta;29
80;2022;HURRICAINE;Laboratorios;AGUJAS Y ANESTESIAS;;Bote de;;Sob consulta;30
81;20223;HURRICAINE SPRAY;Laboratorios Clarben;AGUJAS Y ANESTESIAS;Spray 60 ml.;Bote dosificador de 50 ml. Efectivo en pocos;;Sob consulta;30
82;20224;HURRICAINE;Laboratorios;AGUJAS Y ANESTESIAS;;Bote dosificador de 50 ml. Efectivo en pocos;;Sob consulta;30
