id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
1865;48503;IONOSTAR MOLAR;Voco;RESTAURACIÓN;A3 (2 jeringas de 2 gr.);;104.2;104,20 €;130
1866;48744;IONOSTAR PLUS;Voco;RESTAURACIÓN;150 cápsulas A2;;467.1;467,10 €;130
1867;48745;IONOSTAR PLUS;Voco;RESTAURACIÓN;150 cápsulas A3;;467.1;467,10 €;130
1868;48746;IONOSTAR PLUS;Voco;RESTAURACIÓN;20 cápsulas A2;150 cápsulas;70.4;70,40 €;130
1869;48747;IONOSTAR PLUS;Voco;RESTAURACIÓN;20 cápsulas A3;150 cápsulas;70.4;70,40 €;130
1870;48749;IONOSTAR PLUS;Voco;RESTAURACIÓN;Set aplicación 50 cápsulas;150 cápsulas;174.7;174,70 €;130
1871;61726;IONOLUX;Voco;RESTAURACIÓN;Set Aplicación 50 cápsulas;10 cápsulas A1, 10 guía color, instrumento Trifill.;246.1;246,10 €;130
1872;61727;IONOLUX;Voco;RESTAURACIÓN;A1;20 cápsulas;104.2;104,20 €;130
1873;61728;IONOLUX;Voco;RESTAURACIÓN;A2;20 cápsulas;104.2;104,20 €;130
1874;61729;IONOLUX;Voco;RESTAURACIÓN;A3;20 cápsulas;104.2;104,20 €;130
1875;61730;IONOLUX;Voco;RESTAURACIÓN;A3.5;20 cápsulas;104.2;104,20 €;130
1876;61731;IONOLUX;Voco;RESTAURACIÓN;B1;20 cápsulas;104.2;104,20 €;130
1877;61732;IONOLUX;Voco;RESTAURACIÓN;A2;150 cápsulas;649.2;649,20 €;130
1878;61733;IONOLUX;Voco;RESTAURACIÓN;A3;150 cápsulas;649.2;649,20 €;130
1879;77960;ACTIVA RESTAURATIVE;Pulpdent;RESTAURACIÓN;A2;1 jeringa de 5 ml. +;143.09;143,09 €;130
1880;77961;ACTIVA RESTAURATIVE;Pulpdent;RESTAURACIÓN;A3;1 jeringa de 5 ml. +;143.09;143,09 €;130
1881;77962;ACTIVA RESTAURATIVE;Pulpdent;RESTAURACIÓN;A3.5;1 jeringa de 5 ml. +;143.09;143,09 €;130
1882;77963;IONOSTAR MOLAR;Voco;RESTAURACIÓN;1 ud.;1 jeringa de 5 ml. +;143.09;143,09 €;130
1883;77968;ACTIVA KIDS;Pulpdent;RESTAURACIÓN;;1 jeringa de 5 ml + 20 puntas.;135.86;135,86 €;130
1884;77969;ACTIVA RESTAURATIVE;Pulpdent;RESTAURACIÓN;Kit Intro A2;1 dispensador + 1 + 20 puntas.;253.96;253,96 €;130
1885;77970;ACTIVA RESTAURATIVE;Pulpdent;RESTAURACIÓN;Kit Intro A3;1 dispensador + 1 + 20 puntas.;253.96;253,96 €;130
1886;3202;IPS CERAMIC;Ivoclar Vivadent;RESTAURACIÓN;Kit 30 gr. polvo + 5 ml. etching;;93.65;93,65 €;131
1887;32021;IPS CERAMIC;Ivoclar Vivadent;RESTAURACIÓN;Gel grabador 5 ml.;;48.8;48,80 €;131
1888;3300;IPS CERAMIC;Ivoclar Vivadent;RESTAURACIÓN;Polvo neutralización 30 gr.;;48.8;48,80 €;131
1889;5664;PORCELAIN ETCH;Ultradent;RESTAURACIÓN;;2 jeringas de 1,2 ml. piezas de cerámica o de metal-cerámica;43.6;43,60 €;131
1890;76319;IPS CERAMIC;Ivoclar Vivadent;RESTAURACIÓN;;;62.38;62,38 €;131
1891;78577;ÁCIDO FLUORHÍDRICO;Proclinic Expert;RESTAURACIÓN;;2 unidades x 1,2;33.09;33,09 €;131
1892;59272;PORCELAIN ETCH KIT;Ultradent;RESTAURACIÓN;;2 jer ingas de 1,2 ml. 2 jeringas de 1,2 ml. de Silano. 40 Tips.;34.7;34,70 €;132
1893;6399;SILANO ULTRADENT;Ultradent;RESTAURACIÓN;;2 jeringas de 1,2 ml.;34.7;34,70 €;132
1894;7632;SILANO;Pulpdent;RESTAURACIÓN;;4 jeringas de 1,2 ml. + 8 puntas.;51.67;51,67 €;132
1895;78578;SILANO;Proclinic Expert;RESTAURACIÓN;;2 botes silano x;25.59;25,59 €;132
1896;61722;ADHESIVO CERAMIC BOND;Voco;RESTAURACIÓN;;5 ml.;101.2;101,20 €;133
1897;73943;MONOBOND PLUS;Ivoclar Vivadent;RESTAURACIÓN;;5 gr.;107.0;107,00 €;133
1898;78579;CERAMIC PRIMER;Proclinic Expert;RESTAURACIÓN;;5 ml.;88.69;88,69 €;133
1899;90932;MONOBOND ETCH & PRIME;Ivoclar Vivadent;RESTAURACIÓN;;5 gr.;180.5;180,50 €;133
1900;1646;KIT PREPARACIÓN PORCELANA;Pulpdent;RESTAURACIÓN;;Kit con todos los elementos necesarios para preparar la superficie de cerámica para su posterior reparación. Contiene: - 1 jeringa de 1,2 ml. de ácido grabador de porcelana (ácido fluorhídrico). - 1 jeringas de 1,2 ml. de Dry-Rite, agente secante. - 1 jeringa de 1,2 ml. de silano. - 1 jeringa de 1,2 ml. de kool dam (protector tejidos blandos). - 8 puntas aplicadoras.;83.09;83,09 €;134
1901;1651;HAWE COMPOSITE GUN PUNTAS;Kerr;RESTAURACIÓN;Transparentes (1913);Caja con 100 uds. acumulables a las ofertas mensuales;83.09;83,09 €;134
1902;1664;HAWE COMPOSITE GUN PUNTAS;Kerr;RESTAURACIÓN;Negras (1918).Para composites de luz;Caja con 100 uds. acumulables a las ofertas mensuales;96.4;96,40 €;134
1903;46027;GC REPAIR KIT;G.C.;RESTAURACIÓN;;G-Premio BOND 5 unidosis, Ceramic Primer II 5 unidosis, GRADIA PLUS Opaco OA1 1 jeringa 2 ml., guía técnica, puntas dispensadoras y micro pinceles.;126.4;126,40 €;134
1904;7631;KIT PREPARACIÓN PORCELANA;Pulpdent;RESTAURACIÓN;;Kit con todos los elementos necesarios para preparar la superficie de cerámica para su posterior reparación. Contiene: - 1 jeringa de 1,2 ml. de ácido grabador de porcelana (ácido fluorhídrico). - 1 jeringas de 1,2 ml. de Dry-Rite, agente secante. - 1 jeringa de 1,2 ml. de silano. - 1 jeringa de 1,2 ml. de kool dam (protector tejidos blandos). - 8 puntas aplicadoras.;59.72;59,72 €;134
1905;25650;MICRO APLICADORES;Bestdent;RESTAURACIÓN;Finos;;9.29;9,29 €;135
1906;25651;MICRO APLICADORES;Bestdent;RESTAURACIÓN;Regulares;;9.29;9,29 €;135
1907;4445;MICROBRUSH APLICADOR BOLITA;Microbrush;RESTAURACIÓN;Normal;4 x 100 uds.;61.8;61,80 €;135
1908;44452;MICROBRUSH APLICADOR BOLITA;Microbrush;RESTAURACIÓN;Fino;4 x 100 uds.;61.8;61,80 €;135
1909;49978;MICROAPLICADORES;Proclinic;RESTAURACIÓN;Micro aplicador fino 100 uds.;Dispensador 100 uds.;14.99;14,99 €;135
1910;49979;MICROAPLICADORES;Proclinic;RESTAURACIÓN;Micro aplicador regular;Dispensador 100 uds.;9.29;9,29 €;135
1911;5486;MICROBRUSH X APLICADOR LARGO PARA CANALES;Microbrush;RESTAURACIÓN;;"100 aplicadores + 1 dispensador ""uno a uno"".";37.87;37,87 €;135
1912;5983;MICROBRUSH APLICADOR BOLITA;Microbrush;RESTAURACIÓN;Super fino;4 x 100 uds.;61.8;61,80 €;135
1913;69580;MICROBRUSH APLICADOR BOLITA;Microbrush;RESTAURACIÓN;Aplicadores + dispensador;4 x 100 uds.;67.59;67,59 €;135
1914;69581;MICROBRUSH APLICADOR BOLITA;Microbrush;RESTAURACIÓN;Aplicadores;4 x 100 uds.;59.52;59,52 €;135
1915;2145;MICRO-STIX AZUL;Microbrush;RESTAURACIÓN;;Bolsa de 100 uds.;12.41;12,41 €;136
1916;23821;OPTRASTICK CON ADHESIVO;Ivoclar;RESTAURACIÓN;;48 unidades;32.65;32,65 €;136
1917;53595;MICROAPLICADORES BIO;Hager & Werken;RESTAURACIÓN;Extra fino;100 unidades;8.27;8,27 €;136
1918;53596;MICROAPLICADORES BIO;Hager & Werken;RESTAURACIÓN;Fino;100 unidades;62.91;62,91 €;136
1919;53597;MICROAPLICADORES BIO;Hager & Werken;RESTAURACIÓN;Regular;100 unidades;8.27;8,27 €;136
1920;6339;STIK`N´ PLACE;Directa;RESTAURACIÓN;;50 uds.;35.7;35,70 €;136
1921;68330;MICRO-STIX AZUL;Microbrush;RESTAURACIÓN;;Caja 64 unidades.;8.27;8,27 €;136
1922;69594;ULTRABRUSH PLUS APLICADOR;Microbrush;RESTAURACIÓN;2 x 100 uds.;Caja 64 unidades.;42.3;42,30 €;136
1923;69595;ULTRABRUSH PLUS APLICADOR;Microbrush;RESTAURACIÓN;2 x 100 uds. + dispensador;Caja 64 unidades.;62.91;62,91 €;136
1924;2146;SEPTOTAPE TEFLÓN;Septodont;RESTAURACIÓN;;1 ud.;2.19;2,19 €;137
1925;52870;CALENTADOR COMPOSITES;Bader;RESTAURACIÓN;;1 ud.;406.82;406,82 €;137
1926;54547;SEPTOTAPE TEFLÓN;Septodont;RESTAURACIÓN;;1 ud.;21.9;21,90 €;137
1927;69601;POCITOS MEZCLA ADHESIVOS;Dental Market;RESTAURACIÓN;Pocitos para mezcla, desechables.;1.000 uds.;109.84;109,84 €;137
1928;97289;SEPTOTAPE TEFLÓN;Septodont;RESTAURACIÓN;;5 metros de largo x 0,07 mm. de grosor.;7.17;7,17 €;137
1929;2222;PAPEL DE MEZCLA;MGK;RESTAURACIÓN;;9 cm x 7 cm. 50 hojas;10.44;10,44 €;138
1930;49948;BLOCKS DE PVC PROCLINIC;Proclinic;RESTAURACIÓN;7 x 8 cm. (100 uds.);8 x 7 cm (100 uds.);8.95;8,95 €;138
1931;49949;BLOCKS DE PVC PROCLINIC;Proclinic;RESTAURACIÓN;14 x 20 cm. (50 uds.);8 x 7 cm (100 uds.);12.47;12,47 €;138
1932;6860;INSTRUMENTOS DE MODELAR COMPOSITE;Larident;RESTAURACIÓN;;5 uds. Con diferentes acabados en forma de gramaje: 240 gr. m2 espátulas y bolas. Esterilizables en autoclave. Color blanco.;7.38;7,38 €;138
1933;69670;BLOCK DE MEZCLA FIX-I-PAD;Larident;RESTAURACIÓN;;7 x 8 cm. 100 hojas;10.44;10,44 €;138
1934;69675;BLOCK MEZCLA DE PVC;Bestdent;RESTAURACIÓN;;8 x 7 cm (100 uds.);6.15;6,15 €;138
1935;44590;GUÍA VITAPAN;VITA;RESTAURACIÓN;;– D4 permite En la familia A1 - A4 (rojizo-marronáceo) B1 - B4 (rojizo-amarillento)º C1 - C4 (grisáceo) D2 - D4 (rojizo-gris) Consejos acerca;83.12;83,12 €;139
1936;83293;GUIA VITA COLORES 3D-MASTER;Vita;RESTAURACIÓN;;Guía de color 3D en colores 3D-Master.;83.12;83,12 €;139
1937;H52137;GUÍA VITA CLÁSICA A1-D4 + BLEACH;Vita;RESTAURACIÓN;;Guía de color para colores Vita clásica.;90.18;90,18 €;139
1938;2169;ANA 2000 DUETT “400”;Nordiska;RESTAURACIÓN;400 pastillas + 400 dosis de mercurio.;43% Ag.;919.03;919,03 €;140
1939;5959;PERMITE REGULAR;SDI;RESTAURACIÓN;N.3 (500 cápsulas);43% Ag.;1137.55;1137,55 €;140
1940;5962;PERMITE REGULAR;SDI;RESTAURACIÓN;N.2 Fast (50 cápsulas);43% Ag.;106.1;106,10 €;140
1941;59813;PORTAMALGAMAS;Proclinic;RESTAURACIÓN;;;29.16;29,16 €;140
1942;70022;PERMITE REGULAR;SDI;RESTAURACIÓN;N.2 Slow (50 cápsulas);;106.1;106,10 €;140
1943;96936;PERMITE REGULAR;SDI;RESTAURACIÓN;N.2 (500 cápsulas);43% Ag.;919.03;919,03 €;140
1944;98450;PERMITE REGULAR;SDI;RESTAURACIÓN;N.1 (50 cápsulas);;83.67;83,67 €;140
1945;98451;PERMITE REGULAR;SDI;RESTAURACIÓN;N.2 (50 cápsulas);;106.1;106,10 €;140
1946;98452;PERMITE REGULAR;SDI;RESTAURACIÓN;N.3 (50 cápsulas);43% Ag.;125.87;125,87 €;140
1947;98453;PERMITE REGULAR;SDI;RESTAURACIÓN;N.1 (500 cápsulas);;705.68;705,68 €;140
1948;98573;PERMITE REGULAR;SDI;RESTAURACIÓN;N.2 Slow (500 cápsulas);43% Ag.;919.03;919,03 €;140
1949;0130;PORTAMALGAMAS PLÁSTICO;Proclinic;RESTAURACIÓN;Curvado 45º.;Esterilizable en autoclave. Ø 2,4 mm.;25.02;25,02 €;142
1950;0131;PORTAMALGAMAS PLÁSTICO;Proclinic;RESTAURACIÓN;Curvado 90º.;Esterilizable en autoclave. Ø 2,4 mm.;25.02;25,02 €;142
1951;0149;PORTAMALGAMAS PLÁSTICO;Proclinic;RESTAURACIÓN;Recto.;Esterilizable en autoclave. Ø 2,4 mm.;25.02;25,02 €;142
1952;0763;PORTAMALGAMAS;Carl Martin;RESTAURACIÓN;Curvo. Ángulo de 90o.;;79.36;79,36 €;142
1953;0779;PORTAMALGAMAS;Carl Martin;RESTAURACIÓN;Recto. Ángulo de 20o.;;79.36;79,36 €;142
1954;59812;PORTAMALGAMAS;Proclinic;RESTAURACIÓN;;Para amalgama y MTA.;39.22;39,22 €;142
1955;59814;PORTAMALGAMAS RETROGRADO CURVO;Proclinic;RESTAURACIÓN;;Para amalgama y MTA.;39.22;39,22 €;142
1956;4206;DAPPEN METÁLICO;Mestra;RESTAURACIÓN;;Base de goma antideslizante.;37.34;37,34 €;143
1957;59774;DAPPEN PARA AMALGAMA;Proclinic;RESTAURACIÓN;;;31.49;31,49 €;143
1958;53522;Produto Dentário;Smartbone;BIOMATERIALES Y SUTURAS;Smartbone microchips 0,25-1mm, 0,5gr;;84.24;84,24 €;146
1959;0982;BIO-GEN GRANULADO;Bioteck;BIOMATERIALES Y SUTURAS;Bio gen esponjoso;;131.71;131,71 €;148
1960;0984;BIO-GEN GRANULADO;Bioteck;BIOMATERIALES Y SUTURAS;Bio gen mix;;104.27;104,27 €;148
1961;0985;BIO-GEN GRANULADO;Bioteck;BIOMATERIALES Y SUTURAS;Bio gen mix;;150.19;150,19 €;148
1962;68501;NANOBONE;Artoss;BIOMATERIALES Y SUTURAS;Nanobone vial 0,6 - particula;;104.27;104,27 €;148
1963;68502;NANOBONE;Artoss;BIOMATERIALES Y SUTURAS;Nanobone vial 1,2 - particula;;150.19;150,19 €;148
1964;68503;NANOBONE;Artoss;BIOMATERIALES Y SUTURAS;Nanobone vial 1,2 - particula;;150.19;150,19 €;148
1965;68504;NANOBONE;Artoss;BIOMATERIALES Y SUTURAS;Nanobone vial 2,4 - particula;;214.6;214,60 €;148
1966;70413;BIO-GEN GRANULADO;Bioteck;BIOMATERIALES Y SUTURAS;Bio gen cortical;;150.19;150,19 €;148
1967;70414;BIO-GEN GRANULADO;Bioteck;BIOMATERIALES Y SUTURAS;Bio gen esponjoso;;287.95;287,95 €;148
1968;70416;BIO-GEN BLOQUE;Bioteck;BIOMATERIALES Y SUTURAS;10 x10 x10;1;183.31;183,31 €;148
1969;73211;BIOGEN PUTTY;Bioteck;BIOMATERIALES Y SUTURAS;;0,5 cc.;127.68;127,68 €;148
1970;19387;R.T.R. +;Septodont;BIOMATERIALES Y SUTURAS;40/60;1 jeringa estéril de;172.5;172,50 €;149
1971;19388;R.T.R. +;Septodont;BIOMATERIALES Y SUTURAS;80/20;1 jeringa estéril de;172.5;172,50 €;149
1972;47802;RASCADOR DE HUESO CURVO;Meta;BIOMATERIALES Y SUTURAS;;Caja 3 unidades;168.73;168,73 €;149
1973;6840;FISIOGRAFT GEL;Laboratorios Ghimas;BIOMATERIALES Y SUTURAS;1 monodosis;;57.57;57,57 €;149
1974;6841;FISIOGRAFT GEL;Laboratorios Ghimas;BIOMATERIALES Y SUTURAS;5 monodosis;;204.69;204,69 €;149
1975;6844;FISIOGRAFT GEL;Laboratorios Ghimas;BIOMATERIALES Y SUTURAS;;;204.69;204,69 €;149
1976;68462;FISIOGRAFT NANO H.A. REFORZADO;Ghimas;BIOMATERIALES Y SUTURAS;Fisiograft mano H.A monodosis;2 jeringas x 1ml.;101.38;101,38 €;149
1977;0986;BIOCOLLAGEN;Bioteck;BIOMATERIALES Y SUTURAS;;Medidas: 25 x 25 x 0.2;157.17;157,17 €;150
1978;481605;MEMBRANAS NO REABSORBIBLES;Cytoplast;BIOMATERIALES Y SUTURAS;TXT-200 singles 12 mm. x 24;Con y sin refuerzo de;163.12;163,12 €;150
1979;481606;MEMBRANAS NO REABSORBIBLES;Cytoplast;BIOMATERIALES Y SUTURAS;Ti-250 anterior singles 14 mm.;Con y sin refuerzo de;349.5;349,50 €;150
1980;481607;MEMBRANAS NO REABSORBIBLES;Cytoplast;BIOMATERIALES Y SUTURAS;Ti-250 posterior singles 20;Con y sin refuerzo de;68.98;68,98 €;150
1981;70424;MEMBRANA HEART;Bioteck;BIOMATERIALES Y SUTURAS;;Medidas: 30 x 25 x 0,2 mm.;296.77;296,77 €;150
1982;88074;RASCADORES DE HUESO;Meta;BIOMATERIALES Y SUTURAS;Micross (1u.);;68.98;68,98 €;150
1983;88075;RASCADORES DE HUESO;Meta;BIOMATERIALES Y SUTURAS;Curvo volumizer (3u.);;204.0;204,00 €;150
1984;89023;R.T.R.+ MEMBRANE;Septodont;BIOMATERIALES Y SUTURAS;15x20 mm;1 unidad;112.17;112,17 €;150
1985;89024;R.T.R.+ MEMBRANE;Septodont;BIOMATERIALES Y SUTURAS;15x25 mm;1 unidad;140.33;140,33 €;150
1986;89027;R.T.R.+ MEMBRANE;Septodont;BIOMATERIALES Y SUTURAS;20x30 mm;1 unidad;157.17;157,17 €;150
1987;89028;R.T.R.+ MEMBRANE;Septodont;BIOMATERIALES Y SUTURAS;30x40 mm;1 unidad;196.67;196,67 €;150
1988;56745;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;3 mm;5 unidades;94.25;94,25 €;152
1989;56746;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;5 mm;5 unidades;94.25;94,25 €;152
1990;56747;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Kit 3 mm;10 u. chinchetas + desatornillador + 1 u. contenedor chinchetas;632.29;632,29 €;152
1991;56748;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Kit 5 mm;10 u. chinchetas + desatornillador + 1 u. contenedor chinchetas;632.29;632,29 €;152
1992;56749;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Reposición punta titanio;1 unidad;91.64;91,64 €;152
1993;56750;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Impactador con punta titanio;1 unidad;82.47;82,47 €;152
1994;56751;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Destornillador punta hexagonal;1 unidad;65.45;65,45 €;152
1995;56752;CHINCHETAS DE TITANIO;Curasan;BIOMATERIALES Y SUTURAS;Contenedor chinchetas TI-Steribox;1 unidad;243.49;243,49 €;152
1996;70302;MOLINILLO DE HUESO;Asa Dental;BIOMATERIALES Y SUTURAS;;17 cm.;521.13;521,13 €;152
1997;70303;PINZAS PARA MEMBRANA;Asa Dental;BIOMATERIALES Y SUTURAS;;10,5 cm.;521.13;521,13 €;152
1998;0884;OXYSAFE;Hager & Werken;BIOMATERIALES Y SUTURAS;Oxysafe Intro kit;Intro kit: 3 jeringas + 3 botes de colutorio;164.18;164,18 €;153
1999;0885;OXYSAFE;Hager & Werken;BIOMATERIALES Y SUTURAS;Oxysafe gel 3 jeringas x 1 ml.;Intro kit: 3 jeringas + 3 botes de colutorio;155.27;155,27 €;153
2000;0886;OXYSAFE;Hager & Werken;BIOMATERIALES Y SUTURAS;Oxysafe colutorio 250 ml.;Intro kit: 3 jeringas + 3 botes de colutorio;14.69;14,69 €;153
2001;0961;CHLO-SITE;Ghimas;BIOMATERIALES Y SUTURAS;4 jeringas multidosis x 1 ml.;3;205.17;205,17 €;153
2002;09612;CHLO-SITE;Ghimas;BIOMATERIALES Y SUTURAS;1 jeringa multidosis x 1 ml.;3;60.34;60,34 €;153
2003;09613;CHLO-SITE;Ghimas;BIOMATERIALES Y SUTURAS;6 jeringas monodosis x 0,25;3;0.25;0,25 €;153
2004;75391;STERIFY GEL;Hu-Friedy;BIOMATERIALES Y SUTURAS;;1 jeringa de 0,3 ml;59.0;59,00 €;153
2005;76003;PERIO3 OIL;Hoffmann;BIOMATERIALES Y SUTURAS;;3;96.55;96,55 €;153
2006;93337;EXOGEL;KIN;BIOMATERIALES Y SUTURAS;;12;43.36;43,36 €;153
2007;2027;GELATAMP;Roeko;BIOMATERIALES Y SUTURAS;;Bote de 50 unidades.;60.78;60,78 €;154
2008;35210;ESPONJA HEMOSTÁTICA BESTDENT;Bestdent;BIOMATERIALES Y SUTURAS;Caja de 10 unidades;Esponja hemostática de origen porcino. Alto poder hemostático y cicatrizante. Gelatina liofilizada. Completamente absorbible en 15 días. Bloques de 1x1x1 cm.;10.81;10,81 €;154
2009;35211;ESPONJA HEMOSTÁTICA;Proclinic;BIOMATERIALES Y SUTURAS;;Esponja de gelatina - Gelatina liofilizada completamente - Su estructura porosa proporciona - Absorbe entre 40 y 50 veces su peso - Presentado en cubos de 1 cm de - Producto esterilizado por irradiación.;44.07;44,07 €;154
2010;5483;CUTANPLAST;Dispotech;BIOMATERIALES Y SUTURAS;;Caja de 24 unidades.;25.38;25,38 €;154
2011;97098;GELATAMP BLÍSTER;Roeko;BIOMATERIALES Y SUTURAS;Caja de 20 unidades;14 x 7 x 7 mm. La plata;29.36;29,36 €;154
2012;155518;SEPTOCONE;Septodont;BIOMATERIALES Y SUTURAS;;Caja de 10 unidades;117.5;117,50 €;155
2013;19028;HEMOGELATIN;Septodont;BIOMATERIALES Y SUTURAS;;Caja de 24 unidades.;49.67;49,67 €;155
2014;93488;HEMOCOLLAGENE;Septodont;BIOMATERIALES Y SUTURAS;;Caja de 24 unidades.;82.0;82,00 €;155
2015;70077;CERA HEMOSTÁTICA PARA HUESO mayor grosor el número más pequeño. Es;Ethicon de;BIOMATERIALES Y SUTURAS;;12 uds.;156.04;156,04 €;156
2016;91500;SURGICEL;Johnson&Johnson;BIOMATERIALES Y SUTURAS;Surgicel 1,25 x 5 cm.;10 unidades.;1.25;1,25 €;156
2017;91501;SURGICEL;Johnson&Johnson;BIOMATERIALES Y SUTURAS;Surgicel 5 x 7,5 cm.;10 unidades.;198.24;198,24 €;156
2018;95007;SPONGOSTAN;Ethicon;BIOMATERIALES Y SUTURAS;;Caja de 24 unidades.;39.33;39,33 €;156
2019;49934;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 2/0 -(1/2-R.-22 mm);;45.1;45,10 €;157
2020;49935;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 2/0 -(1/2-T.-22 mm);;45.1;45,10 €;157
2021;49936;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(1/2-R.-20 mm);;45.1;45,10 €;157
2022;49937;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(1/2-T.-20 mm);;56.98;56,98 €;157
2023;49938;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(1/2-T.-26 mm);;45.1;45,10 €;157
2024;49939;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(3/8-T.-19 mm);;45.1;45,10 €;157
2025;49940;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(1/2-T.-20 mm);;45.1;45,10 €;157
2026;49941;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(1/2-T.-26 mm);;45.1;45,10 €;157
2027;49942;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(3/8-T.-19 mm);;33.23;33,23 €;157
2028;49943;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 5/0 -(3/8-T.-19 mm);;33.23;33,23 €;157
2029;49944;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 5/0 (3/8-T.16;;56.98;56,98 €;157
2030;49945;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 4/0 (3/8-T.19;;56.98;56,98 €;157
2031;49968;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 2/0 -(3/8-T.-19 mm);;45.1;45,10 €;157
2032;49969;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(1/2-R.-22 mm);;45.1;45,10 €;157
2033;49993;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(1/2-T.-22 mm);;45.1;45,10 €;157
2034;49994;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 3/0 -(3/8-T.-16 mm);;45.1;45,10 €;157
2035;49995;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(1/2-R.-22 mm);;45.1;45,10 €;157
2036;49996;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(1/2-T.-22 mm);;45.1;45,10 €;157
2037;49997;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 4/0 -(3/8-T.-16 mm);;45.1;45,10 €;157
2038;49998;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura seda 5/0 -(1/2-T.-22 mm);;33.23;33,23 €;157
2039;49999;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura PGA 3/0 -(3/8-T.-19 mm);;56.98;56,98 €;157
2040;50000;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 4/0 (1/2-T.22;;56.98;56,98 €;157
2041;50001;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 3/0 (1/2-T.22;;56.98;56,98 €;157
2042;50002;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 4/0 (3/8-T.16;;56.98;56,98 €;157
2043;50003;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura PGA 3/0 -(1/2-T.-22 mm);;56.98;56,98 €;157
2044;50004;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura Supramid 4/0 (1/2-T.20;;56.98;56,98 €;157
2045;50005;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura PGA 5/0 -(3/8-T.-16 mm);;56.98;56,98 €;157
2046;50006;SUTURAS;Proclinic;BIOMATERIALES Y SUTURAS;Sutura PGA 4/0 -(3/8-T.-16;;56.98;56,98 €;157
2047;64874;SUTURA DE TEFLÓN;Omnia;BIOMATERIALES Y SUTURAS;4/0 (3/8;12 uds .;51.28;51,28 €;158
2048;64875;SUTURA DE TEFLÓN;Omnia;BIOMATERIALES Y SUTURAS;Sutura ptfe 5/0 (3/8;12 uds .;51.28;51,28 €;158
2049;68960;N SUTURAS PGA;Bestdent;BIOMATERIALES Y SUTURAS;Hilo 3/0, aguja 3/8C 18mm;12 unidades. Hilo de 45 cm.;51.28;51,28 €;158
2050;68961;N SUTURAS PGA;Bestdent;BIOMATERIALES Y SUTURAS;Hilo 4/0, aguja 3/8C 18mm;12 unidades. Hilo de 45 cm.;51.28;51,28 €;158
2051;68962;N SUTURAS PGA;Bestdent;BIOMATERIALES Y SUTURAS;Hilo 4/0, aguja 3/8C 16mm;12 unidades. Hilo de 45 cm.;51.28;51,28 €;158
2052;68963;N SUTURAS PGA;Bestdent;BIOMATERIALES Y SUTURAS;Hilo 5/0, aguja 3/8C 16mm;12 unidades. Hilo de 45 cm.;51.28;51,28 €;158
